position_type,position_size,exchange,crypto,pair,margin,open_time,quantity,open_price,transaction_cost_pct,open_transaction_cost,open_value,close_time,close_price,closed,close_transaction_cost,close_value,pnl
short,311723.70220859564,bybit,bitcoin,BTCUSDCM,coin,2023-10-29 16:00:00,9.086865022819252,34286.0,0.00055,171.4480362147276,311552.2541723809,2024-01-21 00:00:00,41590.0,True,207.857493964479,377714.8588050882,-66162.60463270731
long,607000.1510197304,okx,ethereum,ETH/USDT,usd,2023-11-06 08:00:00,321.26449037292883,1887.52,0.001,607.0001510197304,606393.1508687106,2023-11-19 16:00:00,1951.93,True,627.085796693631,626458.7108969374,20065.560028226813
short,606393.1508687106,okx,ethereum,ETHUSDT,usd,2023-11-06 08:00:00,321.1378856226163,1887.32,0.0005,303.1965754343553,606089.9542932762,2023-11-19 16:00:00,1952.09,True,313.4450275725265,626576.6101174804,-20486.65582420421
long,303545.8892262523,okx,bitcoin,BTC/USDT,coin,2023-11-06 16:00:00,8.606062093973078,35235.9,0.001,303.54588922625226,303242.343337026,2023-11-11 08:00:00,37041.8,True,318.784030872532,318465.2468416595,15222.903504633461
short,303242.343337026,okx,bitcoin,BTCUSDCM,coin,2023-11-06 16:00:00,8.593418282493033,35270.1,0.0005,151.621171668513,303090.7221653575,2023-11-11 08:00:00,37057.0,True,159.22315064717216,318287.0781436971,-15196.35597833962
long,304315.9700510538,okx,bitcoin,BTC/USDT,coin,2023-11-12 16:00:00,8.203051582291875,37060.8,0.001,304.3159700510538,304011.65408100275,2023-11-25 16:00:00,37652.0,True,308.8612981764537,308552.4368782772,4540.782797274471
short,304011.65408100275,okx,bitcoin,BTCUSDCM,coin,2023-11-12 16:00:00,8.195102465976294,37078.2,0.0005,152.00582704050137,303859.6482539622,2023-11-25 16:00:00,37669.7,True,154.3535256812936,308552.6978369059,-4693.0495829436695
long,152547.99589814615,okx,ethereum,ETH/USDT,coin,2023-11-20 16:00:00,75.27782888218371,2024.44,0.001,152.54799589814616,152395.447902248,2023-11-22 16:00:00,2015.27,True,151.70515021139838,151553.44506118697,-842.0028410610394
short,152395.447902248,okx,ethereum,ETHUSDCM,coin,2023-11-20 16:00:00,75.19042056802658,2025.78,0.0005,76.197723951124,152319.25017829688,2023-11-22 16:00:00,2015.06,True,75.75660443490382,151437.45226537273,881.797912924143
long,457734.0875600496,okx,ethereum,ETH/USDT,usd,2023-11-21 00:00:00,224.56678099677328,2036.26,0.001,457.7340875600496,457276.3534724896,2023-11-23 08:00:00,2059.54,True,462.50426813409445,462041.76386596035,4765.410393470782
short,457276.3534724896,okx,ethereum,ETHUSDT,usd,2023-11-21 00:00:00,224.447884073109,2036.32,0.0005,228.6381767362448,457047.7152957533,2023-11-23 08:00:00,2059.25,True,231.09715263877487,461963.20812491095,-4915.492829157622
long,152673.0118217662,okx,ethereum,ETH/USDT,coin,2023-11-24 00:00:00,73.95606810321652,2062.31,0.001,152.6730118217662,152520.33880994446,2023-11-25 16:00:00,2070.92,True,153.15710055631317,153003.94345575687,483.6046458124183
short,152520.33880994446,okx,ethereum,ETHUSDCM,coin,2023-11-24 00:00:00,73.87789375153358,2063.46,0.0005,76.26016940497223,152444.0786405395,2023-11-25 16:00:00,2071.51,True,76.51939784261967,152962.27628739673,-518.1976468572393
long,458019.0354652986,okx,ethereum,ETH/USDT,usd,2023-11-24 00:00:00,221.86820430964954,2062.31,0.001,458.01903546529866,457561.0164298333,2023-11-26 00:00:00,2082.45,True,462.0294420646296,461567.412622565,4006.396192731685
short,457561.0164298333,okx,ethereum,ETHUSDT,usd,2023-11-24 00:00:00,221.81965432991635,2061.73,0.0005,228.78050821491667,457332.2359216184,2023-11-26 00:00:00,2082.4,True,230.95862408830894,461686.2895525295,-4354.053630911105
long,305381.22828443453,okx,bitcoin,BTC/USDT,coin,2023-11-27 00:00:00,8.161887497121311,37378.1,0.001,305.38122828443454,305075.8470561501,2023-11-28 08:00:00,37129.1,True,303.0435370693669,302740.49353229755,-2335.3535238525365
short,305075.8470561501,okx,bitcoin,BTCUSDCM,coin,2023-11-27 00:00:00,8.155624627424823,37388.1,0.0005,152.53792352807505,304923.30913262203,2023-11-28 08:00:00,37132.5,True,151.4193657389261,302687.3121121133,2235.9970205087448
long,916143.6848533035,okx,bitcoin,BTC/USDT,usd,2023-11-27 00:00:00,24.485662491363932,37378.1,0.001,916.1436848533035,915227.5411684501,2023-12-03 00:00:00,39418.1,True,965.1782926508325,964213.1143581817,48985.57318973157
short,915227.5411684501,okx,bitcoin,BTCUSDT,usd,2023-11-27 00:00:00,24.47479471847886,37376.0,0.0005,457.6137705842251,914769.9273978659,2023-12-03 00:00:00,39433.4,True,482.5621850258322,964641.8078666385,-49871.88046877261
long,610837.2041667403,okx,ethereum,ETH/USDT,usd,2023-11-29 00:00:00,296.3630640162082,2059.05,0.001,610.8372041667403,610226.3669625736,2024-01-04 08:00:00,2231.16,True,661.2334139104032,660572.1804964928,50345.813533919165
short,610226.3669625736,okx,ethereum,ETHUSDT,usd,2023-11-29 00:00:00,296.13146719512355,2059.63,0.0005,305.1131834812868,609921.2537790923,2024-01-04 08:00:00,2230.98,True,330.33169034148835,660333.0489926352,-50411.79521354288
long,305553.87367105123,okx,bitcoin,BTC/USDT,coin,2023-12-02 00:00:00,7.875038886456411,38761.5,0.001,305.55387367105124,305248.3197973802,2023-12-12 00:00:00,40783.1,True,321.1684984102405,320847.3299118302,15599.010114450008
short,305248.3197973802,okx,bitcoin,BTCUSDCM,coin,2023-12-02 00:00:00,7.869010353852065,38771.8,0.0005,152.6241598986901,305095.6956374815,2023-12-12 00:00:00,40747.9,True,160.3228234988643,320485.3241742297,-15389.628536748176
