position_type,position_size,exchange,crypto,pair,margin,open_time,quantity,open_price,transaction_cost_pct,open_transaction_cost,open_value,close_time,close_price,closed,close_transaction_cost,close_value,pnl
long,298918.78488536336,okx,bitcoin,BTC/USDT,coin,2023-03-25 00:00:00,10.734115252877565,27819.7,0.001,298.9187848853634,298619.866100478,2023-03-25 08:00:00,27577.3,True,296.01791656318045,295721.89864661725,-2897.967453860736
short,298619.866100478,okx,bitcoin,BTCUSDCM,coin,2023-03-25 00:00:00,10.72000101167384,27842.4,0.0005,149.309933050239,298470.55616742774,2023-03-25 08:00:00,27614.7,True,148.0148059685348,295881.59713110107,2588.959036326676
long,298867.8128772089,okx,bitcoin,BTC/USDT,coin,2023-03-28 01:00:00,11.070532674235594,26969.7,0.001,298.8678128772089,298568.9450643317,2023-03-28 09:00:00,26970.4,True,298.5766944372037,298278.1177427665,-290.82732156518614
short,298568.9450643317,okx,bitcoin,BTCUSDCM,coin,2023-03-28 01:00:00,11.059625412922289,26982.8,0.0005,149.28447253216586,298419.66059179953,2023-03-28 09:00:00,26969.6,True,149.13683676817448,298124.5366995808,295.12389221874764
long,149429.39798389364,okx,ethereum,ETH/USDT,coin,2023-03-29 09:00:00,83.95476552832223,1778.1,0.001,149.42939798389364,149279.96858590975,2023-03-30 17:00:00,1804.68,True,151.51148625365258,151359.97476739893,2080.0061814891815
short,149279.96858590975,okx,ethereum,ETHUSDCM,coin,2023-03-29 09:00:00,83.88070958837899,1778.78,0.0005,74.63998429295488,149205.32860161678,2023-03-30 17:00:00,1805.11,True,75.7069538425394,151338.20073123625,-2132.872129619471
long,298863.97917189944,okx,bitcoin,BTC/USDT,coin,2023-03-29 17:00:00,10.528983308685048,28356.5,0.001,298.8639791718995,298565.11519272754,2023-03-30 17:00:00,28646.0,True,301.6132558605919,301311.6426047313,2746.5274120037793
short,298565.11519272754,okx,bitcoin,BTCUSDCM,coin,2023-03-29 17:00:00,10.518748132179923,28369.9,0.0005,149.28255759636377,298415.8326351312,2023-03-30 17:00:00,28639.7,True,150.62689544059668,301103.1639857528,-2687.3313506215927
long,896702.7537505736,okx,bitcoin,BTC/USDT,usd,2023-03-30 09:00:00,31.44823261974938,28485.1,0.001,896.7027537505736,895806.050996823,2023-03-30 17:00:00,28646.0,True,900.8660716253407,899965.2055537154,4159.154556892347
short,895806.050996823,okx,bitcoin,BTCUSDT,usd,2023-03-30 09:00:00,31.42820555201392,28489.0,0.0005,447.9030254984115,895358.1479713246,2023-03-30 17:00:00,28642.5,True,450.09118876177934,899732.2863347969,-4374.138363472302
long,298836.54151377577,okx,bitcoin,BTC/USDT,coin,2023-03-31 01:00:00,10.666441751871732,27988.5,0.001,298.8365415137758,298537.70497226197,2023-03-31 09:00:00,28170.1,True,300.47473079440186,300174.25606360746,1636.5510913454928
short,298537.70497226197,okx,bitcoin,BTCUSDCM,coin,2023-03-31 01:00:00,10.660080172331869,27991.2,0.0005,149.26885248613098,298388.4361197758,2023-03-31 09:00:00,28168.2,True,150.1376351551393,300125.13267512346,-1736.6965553476475
long,298812.8101403208,okx,bitcoin,BTC/USDT,coin,2023-04-01 09:00:00,10.45986184975579,28539.0,0.001,298.8128101403208,298513.9973301805,2023-04-02 17:00:00,28354.1,True,296.5799688741606,296283.38890528644,-2230.608424894046
short,298513.9973301805,okx,bitcoin,BTCUSDCM,coin,2023-04-01 09:00:00,10.45078689054153,28549.5,0.0005,149.25699866509024,298364.7403315154,2023-04-02 17:00:00,28354.6,True,148.16394098327444,296179.71802556555,2185.022305949824
long,298818.51846697734,okx,bitcoin,BTC/USDT,coin,2023-04-04 09:00:00,10.717108544346887,27854.5,0.001,298.81851846697737,298519.6999485104,2023-04-04 17:00:00,28285.9,True,303.1430605745416,302839.9175139671,4320.217565456696
short,298519.6999485104,okx,bitcoin,BTCUSDCM,coin,2023-04-04 09:00:00,10.708482220096046,27863.0,0.0005,149.2598499742552,298370.44009853614,2023-04-04 17:00:00,28299.9,True,151.52448799024805,302897.45149250585,-4527.011393969704
long,149385.17285369453,okx,ethereum,ETH/USDT,coin,2023-04-05 09:00:00,78.03015240509524,1912.54,0.001,149.38517285369454,149235.78768084085,2023-04-06 17:00:00,1868.98,True,145.8367942420749,145690.9574478328,-3544.830233008048
short,149235.78768084085,okx,ethereum,ETHUSDCM,coin,2023-04-05 09:00:00,77.94997245277125,1913.55,0.0005,74.61789384042042,149161.16978700043,2023-04-06 17:00:00,1868.35,True,72.81891551606758,145565.01211661907,3596.1576703813625
