https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume,Volume Base Asset,tradecount
1700179200000,2023-11-17,BTCUSD_PERP,36177.6,36899.9,35865.1,36622.9,19031147,52353.62120516,420228
1700092800000,2023-11-16,BTCUSD_PERP,37889.5,37961.4,35500.9,36177.6,25701789,70013.45528486,516600
1700006400000,2023-11-15,BTCUSD_PERP,35569.9,37999.0,35394.3,37889.5,28367191,76921.72170985,556272
1699920000000,2023-11-14,BTCUSD_PERP,36485.2,36782.8,34566.8,35569.9,22813314,63440.59397219,494571
1699833600000,2023-11-13,BTCUSD_PERP,37102.5,37469.8,36355.0,36485.2,13006862,35278.72121489,314669
1699747200000,2023-11-12,BTCUSD_PERP,37160.5,37264.6,36744.6,37102.4,6182403,16668.97945132,169997
1699660800000,2023-11-11,BTCUSD_PERP,37326.8,37419.1,36609.6,37160.4,8616138,23240.87182319,221348
1699574400000,2023-11-10,BTCUSD_PERP,36720.8,37565.2,36351.6,37323.9,16082565,43466.28957821,386465
1699488000000,2023-11-09,BTCUSD_PERP,35636.3,38091.6,35548.0,36718.6,41181848,112013.82010423,863658
1699401600000,2023-11-08,BTCUSD_PERP,35410.5,36217.5,35100.0,35637.3,12969111,36462.78138258,322698
1699315200000,2023-11-07,BTCUSD_PERP,35064.1,35920.1,34532.7,35410.5,14844683,42210.73256663,338544
1699228800000,2023-11-06,BTCUSD_PERP,35044.1,35309.7,34758.3,35064.0,7815319,22307.7347615,216697
1699142400000,2023-11-05,BTCUSD_PERP,35083.0,35438.6,34328.0,35044.0,8484767,24219.09203763,217535
1698883200000,2023-11-02,BTCUSD_PERP,35456.8,36067.4,34313.1,34955.1,15862017,45154.30870733,417878
1698796800000,2023-11-01,BTCUSD_PERP,34677.9,35769.0,34100.0,35456.8,20029104,57535.38685266,571736
1698710400000,2023-10-31,BTCUSD_PERP,34510.6,34768.2,34038.2,34679.8,10198652,29652.25132151,396568
1698624000000,2023-10-30,BTCUSD_PERP,34548.7,34888.0,34072.0,34510.6,13042186,37834.01978745,410405
1698537600000,2023-10-29,BTCUSD_PERP,34101.8,34785.5,33951.6,34548.6,8655129,25127.47098354,274782
1698451200000,2023-10-28,BTCUSD_PERP,33905.6,34543.0,33874.2,34101.9,6793353,19888.27538168,226138
1698364800000,2023-10-27,BTCUSD_PERP,34161.6,34271.1,33365.8,33905.7,11608539,34227.14956604,396147
1698278400000,2023-10-26,BTCUSD_PERP,34502.2,34841.5,33749.0,34161.7,13505235,39415.71689161,471472
1698192000000,2023-10-25,BTCUSD_PERP,33927.3,35163.0,33675.1,34502.2,19844114,57643.04976654,609292
1698105600000,2023-10-24,BTCUSD_PERP,33093.0,35296.5,32857.2,33927.4,43741546,128348.42891999,1150826
1698019200000,2023-10-23,BTCUSD_PERP,29995.0,35811.9,29884.8,33091.5,44118216,139636.77894918,1112282
1697932800000,2023-10-22,BTCUSD_PERP,29907.7,30280.9,29621.4,29994.0,7390432,24693.64162503,217496
1697846400000,2023-10-21,BTCUSD_PERP,29670.7,30384.6,29466.4,29907.7,9573013,32022.15774998,248696
1697760000000,2023-10-20,BTCUSD_PERP,28713.5,30263.5,28578.9,29670.7,23590176,79929.380362,562979
1697673600000,2023-10-19,BTCUSD_PERP,28314.4,28922.0,28090.7,28713.5,10972213,38442.68694742,307493
1697587200000,2023-10-18,BTCUSD_PERP,28398.1,28999.9,28133.8,28314.3,10939212,38406.67524338,269512
1697500800000,2023-10-17,BTCUSD_PERP,28500.6,28615.6,28063.8,28398.1,12627516,44514.28182341,302142
1697414400000,2023-10-16,BTCUSD_PERP,27149.7,30568.1,27108.4,28500.6,31393411,111056.52414163,811624
1697328000000,2023-10-15,BTCUSD_PERP,26843.1,27287.2,26799.0,27149.7,5539812,20482.40721774,120511
1697241600000,2023-10-14,BTCUSD_PERP,26848.3,26976.4,26778.9,26843.2,2697385,10037.06935378,87165
1697155200000,2023-10-13,BTCUSD_PERP,26744.1,27111.7,26664.8,26848.2,9135259,34024.6680849,208847
1697068800000,2023-10-12,BTCUSD_PERP,26861.9,26938.6,26533.6,26744.1,9755299,36490.90092776,236117
1696982400000,2023-10-11,BTCUSD_PERP,27379.9,27469.2,26516.7,26861.9,16806443,62346.88049984,371874
1696896000000,2023-10-10,BTCUSD_PERP,27585.3,27730.0,27287.0,27379.9,10854733,39499.08093413,260182
1696809600000,2023-10-09,BTCUSD_PERP,27913.9,27994.4,27253.6,27585.3,14825659,53761.19963745,353770
1696723200000,2023-10-08,BTCUSD_PERP,27957.3,28097.3,27688.0,27913.8,8019444,28735.51720374,200474
1696636800000,2023-10-07,BTCUSD_PERP,27930.0,28029.7,27845.9,27957.3,5195990,18603.63236183,143714
1696550400000,2023-10-06,BTCUSD_PERP,27399.8,28332.8,27160.0,27930.0,18633862,67214.6781684,431788
1696464000000,2023-10-05,BTCUSD_PERP,27767.1,28116.5,27333.1,27399.3,14730647,53200.77077066,359432
1696377600000,2023-10-04,BTCUSD_PERP,27414.9,27824.9,27188.0,27767.2,13562788,49312.57346786,301161
1696291200000,2023-10-03,BTCUSD_PERP,27484.7,27659.9,27146.6,27414.9,10722892,39108.46199561,246216
1696204800000,2023-10-02,BTCUSD_PERP,27985.7,28589.0,27270.0,27484.6,20809608,74261.82104491,460493
